"Action","Action"
"Add Callback","Add Callback"
"Add Сonsultation","Add Сonsultation"
"An error occurred while updating the callbacks.","An error occurred while updating the callbacks."
"An error occurred while updating the Сonsultations.","An error occurred while updating the Сonsultations."
"Are you sure?","Are you sure?"
"CSV","CSV"
"Callback was saved","Callback was saved"
"Callback was successfully deleted.","Callback was successfully deleted."
"Callback was successfully saved","Callback was successfully saved"
"Callback","Callback"
"Callbacks","Callbacks"
"Change status","Change status"
"Comment","Comment"
"Could not find callback to delete.","Could not find callback to delete."
"Could not find Сonsultation to delete.","Could not find Сonsultation to delete."
"Created at","Created at"
"Delete Callback","Delete Callback"
"Delete Сonsultation","Delete Сonsultation"
"Delete","Delete"
"Disabled","Disabled"
"Edit Callback '%s'","Edit Callback '%s'"
"Edit Сonsultation '%s'","Edit Сonsultation '%s'"
"Edit","Edit"
"Email","Email"
"Enabled","Enabled"
"Error saving callback","Error saving callback"
"Error saving Сonsultation","Error saving Сonsultation"
"Excel","Excel"
"Home","Home"
"Id","Id"
"Name","Name"
"No","No"
"None","None"
"Page Url","Page Url"
"Please select callbacks to delete.","Please select callbacks to delete."
"Please select callbacks.","Please select callbacks."
"Please select Сonsultations to delete.","Please select Сonsultations to delete."
"Please select Сonsultations.","Please select Сonsultations."
"Preferred Time","Preferred Time"
"Reset","Reset"
"Save And Continue Edit","Save And Continue Edit"
"Save Callback","Save Callback"
"Save Сonsultation","Save Сonsultation"
"Status","Status"
"Store views","Store views"
"Telephone","Telephone"
"The callbacks has been deleted.","The callbacks has been deleted."
"The Сonsultations has been deleted.","The Сonsultations has been deleted."
"There was a problem saving the callback.","There was a problem saving the callback."
"There was a problem saving the Сonsultation.","There was a problem saving the Сonsultation."
"There was an error deleting callback.","There was an error deleting callback."
"There was an error deleting callbacks.","There was an error deleting callbacks."
"There was an error deleting Сonsultation.","There was an error deleting Сonsultation."
"There was an error deleting Сonsultations.","There was an error deleting Сonsultations."
"There was an error updating callbacks.","There was an error updating callbacks."
"There was an error updating Сonsultations.","There was an error updating Сonsultations."
"This callback no longer exists.","This callback no longer exists."
"This Сonsultation no longer exists.","This Сonsultation no longer exists."
"Total of %d callbacks were successfully deleted.","Total of %d callbacks were successfully deleted."
"Total of %d callbacks were successfully updated.","Total of %d callbacks were successfully updated."
"Total of %d record(s) have been deleted.","Total of %d record(s) have been deleted."
"Total of %d record(s) have been updated.","Total of %d record(s) have been updated."
"Total of %d Сonsultations were successfully deleted.","Total of %d Сonsultations were successfully deleted."
"Total of %d Сonsultations were successfully updated.","Total of %d Сonsultations were successfully updated."
"Unable to find callback to save.","Unable to find callback to save."
"Unable to find Сonsultation to save.","Unable to find Сonsultation to save."
"Updated at","Updated at"
"Url Page","Url Page"
"WYSIWYG Editor","WYSIWYG Editor"
"XML","XML"
"Yes","Yes"
"Сonsultation was saved","Сonsultation was saved"
"Сonsultation was successfully deleted.","Сonsultation was successfully deleted."
"Сonsultation was successfully saved","Сonsultation was successfully saved"
"Сonsultation","Сonsultation"
"Сonsultations","Сonsultations"
"General Settings","General Settings"
"Phone Mask","Phone Mask"
"example: +38(099)999-99-99","example: +38(099)999-99-99"
