"Callback","Обратный звонок"
"Consultation","Консультация"
"Enable Callback","Включено"
"Enable Consultation","Включено"
"Enable Ajax","Использовать AJAX при отправке запроса"
"Show Confirmation Dialog","Показать диалоговое окно подтверждения"
"Showing after callback successfully received","Отображается после успешно принятого заказа обратного звонка"
"Confirmation Dialog Html","HTML диалогового окна подтверждения"
"Show Field - Preferred Time","Показывать поле 'Предпочтительное время для звонка'"
"Show Field - Comment","Показывать поле 'Комментарий'"
"Notifications","Оповещения"
"Enable Email Notification","Включить оповещения на e-mail"
"Email Sender","Отправитель письма (от кого)"
"Send Emails To","Отправлять письма (кому)"
"Each email address on a new line","Каждый e-mail адрес с новой строчки"
"Enable email notification of new callback requests","Отправляется при запросе 'обратного звонка'"
"You can use placeholders:<br/>{{name}}, {{telephone}}, {{preffered_time}}","Вы можете использовать placeholders:<br>{{name}}, {{telephone}}, {{preffered_time}}"
"Type of Contact Field","Тип поля 'Контакт'"
"Email","Электронная почта"
"Phone","Телефон"
"Email or Phone (as One Field)","Электронная почта или Телефон (одно поле)"
"Email and Phone (as Different Fields)","Электронная почта и Телефон (разные поля)"
"Fields","Поля"
"Request a Callback","Запрос обратного звонка"
"Name","Имя"
"Telephone","Телефон"
"Call Me","Позвоните мне"
"General Settings","Глобальные настройки"
"Phone Mask","Шаблон Телефона"
"example: +38(099)999-99-99","например: +38(099)999-99-99"
