"Export catalog config","Конфигурация экспорта в YML"
"Edit catalog config","Редактировать конфигурацию экспорта"
"Name","Имя"
"Url","Url"
"Config settings","Настройки"
"Config url","Настройки url"
"Add not in stock items","Добавлять товары которых нет в наличии"
"Is active","Включен"
"Min QTY","Минимальное количество"
"Min price","Минимальная цена"
"Max price","Максимальная цена"
"bid","bid"
"cbid","cbid"
"Catalogs","Категории"
"Config saved","Конфигурация сохранена"
"Config deleted","Конфигурация удалена"
"Zero categories was written - yml not created","Ни одной категории не записано,YML не создан"
"Zero offers was written - yml not created",""Ни одного товара не записано,YML не создан"
"For simple model :","Для простой модели :"
"Run cron","Запустить крон"
"simple","simple"
"vendor.model","vendor.model"
"smart","Автоматический(попытается применить vendor.model, если не получится использует simple)"
"Export Catalog","Экспорт каталога в YML",
"Settings","Настройки"
"Store name","Название магазина"
"Company name","Название компании"
"Agency that provides technical support for store","Название агенства, которое оказывает техническую поддержку"
"Offer type","Тип предложения"
"What attrubute use as model","Какой атрибут использовать как модель"
"What attrubute use as vendor","Какой атрибут использовать как производитель"
"Add related products","Добавлять связанные товары"
"Sales notes rule","Правило для заметок о товаре"
"File path","Путь к файлу"
"Export on save","Экспортировать при сохранении"
"Use %attrName% for use product attributes","%код атрибута% для использования атрибутов продукта"
"Nested only in vendor.model offer type","Необходим только для типа предложения vendor.model"
"Export catalog","Экспорт каталога в YML"
"Config export"," Конфигурации экспорта"
